Municipality	ZipCode
Merbes-le-Château	6567
Momignies	6590
Bastogne	6600
Martelange	6630
Fauvillers	6637
Vaux-sur-Sûre	6640
Houffalize	6660
Gouvy	6670
Sainte-Ode	6680
Bertogne	6687
Vielsalm	6690
Arlon	6700
Attert	6717
Habay	6720
Tintigny	6730
Étalle	6740
Saint-Léger	6747
Musson	6750
Virton	6760
Rouvroy	6767
Meix-devant-Virton	6769
Mesen#Messines	6780
Aubange	6790
Libramont-Chevigny	6800
Chiny	6810
Florenville	6820
Bouillon	6830
Neufchâteau	6840
Paliseul	6850
Saint-Hubert	6870
Bertrix	6880
Herbeumont	6887
Libin	6890
Marche-en-Famenne	6900
Wellin	6920
Tellin	6927
Daverdisse	6929
Durbuy	6940
Nassogne	6950
Manhay	6960
Tenneville	6970
La Roche-en-Ardenne	6980
Rendeux	6987
Hotton	6990
Érezée	6997
Mons	7000
Quévy	7040
Jurbise	7050
Soignies	7060
Le Roeulx	7070
Frameries	7080
Braine-le-Comte	7090
La Louvière	7100
Estinnes	7120
Binche	7130
Morlanwelz	7140
Chapelle-lez-Herlaimont	7160
Manage	7170
Seneffe	7180
Écaussinnes	7190
Boussu	7300
Bernissart	7320
Saint-Ghislain	7330
Colfontaine	7340
Hensies	7350
Dour	7370
Quiévrain	7380
Honnelles	7387
Quaregnon	7390
Tournai	7500
Péruwelz	7600
Rumes	7610
Brunehaut	7620
Antoing	7640
Mouscron	7700
Estaimpuis	7730
Pecq	7740
Mont-de-l'Enclus	7750
Celles	7760
Comines-Warneton	7780
Ath	7800
Silly	7830
Enghien	7850
Lessines	7860
Lens	7870
Flobecq	7880
Ellezelles	7890
Leuze-en-Hainaut	7900
Frasnes-lez-Anvaing	7910
Brugelette	7940
Chièvres	7950
Beloeil	7970
Brugge	8000
Oostkamp	8020
Zedelgem	8210
Knokke-Heist	8300
Damme	8340
Blankenberge	8370
Zuienkerke	8377
Oostende	8400
De Haan	8420
Middelkerke	8430
Bredene	8450
Oudenburg	8460
Gistel	8470
Ichtegem	8480
Jabbeke	8490
Kortrijk	8500
Kuurne	8520
Harelbeke	8530
Deerlijk	8540
Zwevegem	8550
Wevelgem	8560
Anzegem	8570
Avelgem	8580
Espierres-Helchin	8587
Diksmuide	8600
Kortemark	8610
Nieuwpoort	8620
Veurne	8630
Vleteren	8640
Lo-Reninge	8647
Houthulst	8650
De Panne	8660
Koksijde	8670
Koekelare	8680
Alveringem	8690
Tielt	8700
Wielsbeke	8710
Dentergem	8720
Beernem	8730
Pittem	8740
Wingene	8750
Ruiselede	8755
Meulebeke	8760
Ingelmunster	8770
Oostrozebeke	8780
Waregem	8790
Roeselare	8800
Lichtervelde	8810
Torhout	8820
Hooglede	8830
Staden	8840
Ardooie	8850
Lendelede	8860
Izegem	8870
Ledegem	8880
Moorslede	8890
Ieper	8900
Langemark-Poelkapelle	8920
Menen	8930
Wervik	8940
Heuvelland	8950
Messancy	8957
Poperinge	8970
Zonnebeke	8980
Gent	9000
Zelzate	9060
Destelbergen	9070
Lochristi	9080
Melle	9090
Sint-Niklaas	9100
Beveren	9120
Temse	9140
Kruibeke	9150
Lokeren	9160
Sint-Gillis-Waas	9170
Moerbeke	9180
Wachtebeke	9185
Stekene	9190
Dendermonde	9200
Hamme	9220
Wetteren	9230
Zele	9240
Waasmunster	9250
Buggenhout	9255
Wichelen	9260
Laarne	9270
Lebbeke	9280
Berlare	9290
Aalst	9300
Lede	9340
Ninove	9400
Erpe-Mere	9420
Haaltert	9450
Denderleeuw	9470
Geraardsbergen	9500
Sint-Lievens-Houtem	9520
Herzele	9550
Lierde	9570
Ronse	9600
Zottegem	9620
Zwalm	9630
Brakel	9660
Horebeke	9667
Maarkedal	9680
Kluisbergen	9690
Oudenaarde	9700
Zingem	9750
Kruishoutem	9770
Wortegem-Petegem	9790
Deinze	9800
Nazareth	9810
Merelbeke	9820
Sint-Martens-Latem	9830
De Pinte	9840
Nevele	9850
Oosterzele	9860
Zulte	9870
Aalter	9880
Gavere	9890
Eeklo	9900
Knesselare	9910
Lovendegem	9920
Zomergem	9930
Evergem	9940
Waarschoot	9950
Assenede	9960
Kaprijke	9970
Sint-Laureins	9980
Maldegem	9990
